feature,importance
gmv_search_sum_14d,3553.41418428421
log1p_searches_sum_60d,3459.319620895386
cart_to_order_rate_60d,3443.662581682205
log1p_searches_sum_180d,3425.2092942476274
gmv_per_active_day_60d,3422.283387184143
gmv_ratio_30_90,3293.2934749603273
log1p_search_to_ord_sum_90d,3277.0722835540773
log1p_search_to_cart_rate_14d,3270.6353719711306
to_cart_sum_60d,3162.3707582473753
log1p_recency_purchase_days,3112.1028175354004
log1p_gmv_search_sum_90d,3105.9820358276365
log1p_search_to_cart_sum_365d,3095.9338136672973
log1p_searches_sum_90d,3094.083525276184
log1p_avg_order_value_60d,3042.8632860183716
log1p_avg_order_value_180d,3041.779887199402
log1p_ema_gmv_14d,3035.211181640625
search_to_cart_sum_60d,2953.5613867759703
gmv_per_active_day_30d,2942.5523403167726
log1p_search_to_cart_sum_30d,2926.876615905762
log1p_search_to_ord_sum_30d,2912.7487239837646
purchase_days_ratio_60_180,2881.947865104675
log1p_gmv_sum_14d,2845.767576599121
to_cart_sum_180d,2804.637870788574
activity_density_180d,2785.0006008148193
log1p_search_to_cart_rate_365d,2732.9520392417908
avg_order_value_14d,2704.073432445526
ema_gmv_7d,2668.091602897644
log1p_avg_order_value_90d,2661.4455598831178
log1p_search_to_cart_rate_30d,2656.7733934402468
cart_to_order_rate_30d,2608.6567994117736
to_cart_sum_90d,2586.8629331588745
log1p_min_purchase_gap,2531.3775585174562
log1p_gmv_sum_90d,2523.1322519302366
log1p_cart_to_order_rate_180d,2454.2258390426637
log1p_search_to_cart_rate_7d,2450.971438407898
log1p_gmv_search_sum_60d,2450.3036796569822
log1p_gmv_ratio_60_180,2446.452663040161
log1p_gmv_per_purchase_day_180d,2441.437159538269
search_to_cart_sum_90d,2371.9439712524413
log1p_to_cart_sum_365d,2346.9521310806276
log1p_search_to_ord_sum_60d,2330.0148248672485
gmv_cat_sum_180d,2318.478191566467
log1p_search_to_cart_rate_60d,2294.443561553955
activity_density_365d,2281.034311580658
gmv_ratio_30_60,2261.9808673858643
cart_to_order_rate_14d,2239.7526876449583
log1p_gmv_per_purchase_day_90d,2231.3330574035645
log1p_gmv_per_purchase_day_30d,2184.0344846725466
activity_density_60d,2171.5911388397217
log1p_gmv_search_sum_30d,2169.6463680267334
log1p_gmv_per_purchase_day_60d,2159.02116317749
gmv_per_purchase_day_14d,2152.7554595947267
log1p_avg_order_value_30d,2142.7857229232786
log1p_orders_ratio_90_365,2041.2333810806274
log1p_search_to_cart_sum_180d,2000.723406600952
log1p_search_to_cart_sum_7d,1996.8704711914063
log1p_search_to_cart_rate_90d,1993.9628262519836
to_ord_sum_14d,1974.8394484519958
activity_density_90d,1953.4409691333772
log1p_cart_to_order_rate_90d,1952.0214477539062
log1p_gmv_per_active_day_60d,1946.5736003875732
cat_to_cart_sum_365d,1910.6473253250122
cat_to_cart_sum_180d,1888.509018421173
log1p_gmv_per_active_day_90d,1865.6673419952392
orders_old_60d,1862.736581993103
search_to_ord_sum_14d,1839.0753580093383
gmv_per_active_day_14d,1838.6049156188965
log1p_search_to_cart_rate_180d,1831.5025156021118
log1p_btyd_order_value,1772.8768033981323
gmv_cat_sum_90d,1743.4212814331054
log1p_purchase_days_ratio_90_365,1728.853520965576
log1p_orders_ratio_60_180,1712.0212787628175
gmv_ratio_14_30,1703.5661529541017
log1p_gmv_per_active_day_30d,1701.332698249817
orders_ratio_30_90,1661.1698207855225
log1p_search_to_cart_sum_60d,1643.9623857498168
gmv_search_sum_7d,1555.4837980270386
avg_order_value_7d,1537.5685474395752
log1p_gmv_cat_sum_365d,1535.9420595169067
log1p_activity_density_14d,1530.9277248382568
log1p_gmv_ratio_30_60,1518.4843593597411
gmv_ratio_7_30,1505.4042991638185
log1p_btyd_p_alive,1503.9282764434815
log1p_purchase_days_ratio_60_180,1487.8746021270751
log1p_n_active_days_60d,1487.575982093811
gmv_cat_sum_60d,1476.8893774032592
log1p_cat_to_cart_sum_365d,1464.5287199020386
log1p_to_cart_sum_180d,1436.4452105522155
purchase_days_ratio_30_90,1422.8825399398804
orders_ratio_30_60,1417.3930467605592
log1p_n_active_days_180d,1405.9628730773925
gmv_per_active_day_7d,1371.024319934845
log1p_cart_to_order_rate_60d,1346.0539531707764
log1p_to_cart_sum_90d,1319.9858839035035
log1p_to_cart_sum_60d,1317.7450012207032
log1p_gmv_search_sum_14d,1309.4797578811645
gmv_sum_7d,1296.1833183288575
log1p_cart_to_order_rate_30d,1293.7420570373536
log1p_gmv_cat_sum_180d,1212.7949050903321
cart_to_order_rate_7d,1165.4361610412598
log1p_search_to_cart_sum_90d,1134.7769222259521
log1p_ema_gmv_7d,1104.2179222106934
n_purchase_days_14d,1075.8260606765748
log1p_n_active_days_total,1046.5585021972656
orders_recent_share,1032.6315395355225
cat_to_cart_sum_90d,1019.3110144615173
purchase_days_ratio_30_60,1001.7984600067139
gmv_recent_share,1001.5930837631225
log1p_avg_order_value_14d,969.2063676834107
log1p_cart_to_order_rate_14d,955.6822471618652
log1p_purchase_days_ratio_30_90,939.7414014816284
cat_to_cart_sum_30d,925.3694585800171
log1p_gmv_per_purchase_day_14d,922.2400847911834
log1p_n_active_days_90d,917.1765775680542
orders_ratio_14_30,893.6418802261353
log1p_gmv_per_active_day_14d,893.4106729507446
gmv_cat_sum_30d,859.610761642456
log1p_avg_order_value_7d,852.0475158691406
cat_to_cart_sum_14d,848.9617809295654
gmv_per_purchase_day_7d,843.7784738540649
log1p_to_ord_sum_14d,831.0866834640503
log1p_orders_old_60d,819.3330329895019
cat_to_cart_sum_60d,812.3296411514282
log1p_gmv_cat_sum_90d,778.3109405517578
log1p_gmv_search_sum_7d,742.7875720977784
log1p_activity_density_180d,718.3147964477539
cat_to_cart_sum_7d,686.4039810180664
log1p_gmv_sum_7d,678.3903003692627
cat_to_ord_sum_365d,673.2031406402588
purchase_days_ratio_14_30,661.9855662345886
log1p_gmv_per_purchase_day_7d,656.2366384506225
orders_ratio_7_30,651.6819521903992
log1p_gmv_ratio_30_90,647.6395582199096
log1p_cat_to_cart_sum_180d,637.6125991821289
log1p_cat_to_cart_sum_90d,636.4672409057617
log1p_gmv_cat_sum_60d,606.2211987495423
log1p_gmv_per_active_day_7d,604.9684600830078
log1p_n_purchase_days_365d,601.1646465301513
log1p_orders_ratio_30_60,592.2406587600708
log1p_purchase_days_ratio_30_60,584.3135797500611
log1p_gmv_ratio_14_30,567.9842809677124
log1p_n_active_days_365d,562.0380113601684
log1p_gmv_cat_sum_30d,558.0085012435914
log1p_gmv_recent_share,553.3644393920898
log1p_gmv_ratio_7_30,537.4194268226623
log1p_n_purchase_days_14d,524.5109134674072
log1p_search_to_ord_sum_14d,520.1570941925049
log1p_cat_to_cart_sum_30d,510.04005870819094
log1p_cat_to_cart_sum_60d,507.15137786865233
purchase_days_ratio_7_30,506.9770811080933
to_ord_sum_7d,497.015062713623
log1p_cart_to_order_rate_7d,496.3541206359863
cat_to_ord_sum_180d,479.8931007385254
log1p_activity_density_60d,473.36459999084474
log1p_activity_density_90d,460.02871856689455
log1p_orders_ratio_14_30,459.34945793151854
log1p_orders_ratio_7_30,424.680717086792
log1p_btyd_total_gmv,420.9344108581543
log1p_activity_density_365d,371.6727996826172
log1p_cat_to_cart_sum_14d,366.58417987823486
